Student ID & Name,Student Athletic Team 1,Applied To Year Semester,Student Domestic/International Status,Student World Region of Citizenship,Student Gender,Student Degree Level,Enrollment College,Primary College Degree Program,Primary Enrollment HEGIS,Class Year Category,Applicant Group,Average Undergraduate Applicant High School GPA,Average ACT Highest Composite Score (Applicants Wanting Test Scores Considered),Average SAT Highest Composite Score (Applicants Wanting Test Scores Considered),Semester 1 GPI,Semester 1 Cum GPA,Semester 2 GPI,Semester 2 Cum GPA,Semester 3 GPI,Semester 3 Cum GPA,Semester 4 GPI,Semester 4 Cum GPA,Semester 5 GPI,Semester 5 Cum GPA,Semester 6 GPI,Semester 6 Cum GPA,Semester 7 GPI,Semester 7 Cum GPA,Semester 8 GPI,Semester 8 Cum GPA,Semester 9 GPI,Semester 9 Cum GPA,Semester 10 GPI,Semester 10 Cum GPA,Semester 11 GPI,Semester 11 Cum GPA,Semester 12 GPI,Semester 12 Cum GPA
435,Sailing,"Fall, 2021",International,Cornbread ,Male,UNDERGRAD,QST,Bachelor of Science in Business Administration,506,Undergrad Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Bowling,"Fall, 2021",International,Wheat,Female,UNDERGRAD,ENG,Bachelor of Science,905,Undergrad Junior,Freshman,3.8,,1280.0,3.75,3.75,3.51,3.62,3.71,3.65,3.75,3.68,3.85,3.71,3.75,3.72,,,,,,,,,,,,
439,Rollerblading,"Spring, 2023",International,Wheat,Male,UNDERGRAD,QST,Bachelor of Science in Business Administration,506,Undergrad Junior,Transfer,3.9,,,3.75,3.75,3.65,3.73,3.83,3.76,,,,,,,,,,,,,,,,,,
497,Bowling,"Fall, 2023",International,Ciabatta ,Female,UNDERGRAD,CAS,Bachelor of Arts,2001,Undergrad Freshman,Freshman,3.6,,,2.63,2.63,2.43,2.53,,,,,,,,,,,,,,,,,,,,
503,Rollerblading,"Fall, 2020",International,Cornbread ,Male,UNDERGRAD,QST,Bachelor of Science in Business Administration,506,Undergrad Senior,Freshman,4.0,,1350.0,3.4,3.4,2.28,2.81,3.53,3.04,3.25,3.09,3.35,3.14,3.68,3.23,3.6,3.28,3.7,3.32,,,,,,,,
504,Handball,"Fall, 2020",International,Baguette ,Female,UNDERGRAD,CAS,Bachelor of Arts,317,Undergrad Senior,Freshman,3.7,,1260.0,4.0,4.0,3.8,3.88,3.67,3.83,3.0,3.63,3.03,3.53,3.3,3.5,3.33,3.51,3.18,3.47,,,,,,,,
509,Skiing,"Spring, 2022",International,Wheat,Female,UNDERGRAD,CAS,Bachelor of Arts,1501,Undergrad Junior,Freshman,3.9,,1390.0,4.0,4.0,3.93,3.96,4.0,3.98,3.9,3.96,4.0,3.97,,,,,,,,,,,,,,
522,Climbing,"Spring, 2023",International,Wheat,Female,UNDERGRAD,QST,Bachelor of Science in Business Administration,506,Undergrad Sophomore,Freshman,3.7,,,2.93,2.93,2.97,2.95,3.15,3.02,,,,,,,,,,,,,,,,,,
525,Sailing,"Spring, 2021",International,Cornbread ,Male,UNDERGRAD,CAS,Bachelor of Arts,2204,Undergrad Senior,Freshman,3.5,,1220.0,3.68,3.68,3.75,3.71,3.58,3.67,3.68,3.67,3.67,3.67,3.69,3.67,3.23,3.62,,,,,,,,,,
529,Sailing,"Fall, 2021",International,Ciabatta ,Male,UNDERGRAD,QST,Bachelor of Science in Business Administration,506,Undergrad Junior,Freshman,3.1,,1310.0,2.68,2.68,2.2,2.44,3.19,2.69,3.0,2.77,2.79,2.77,3.35,2.87,,,,,,,,,,,,
530,Curling,"Fall, 2021",International,Wheat,Male,UNDERGRAD,QST,Bachelor of Science in Business Administration,506,Undergrad Junior,Freshman,3.3,,,3.93,3.93,3.79,3.86,3.7,3.8,3.93,3.84,3.85,3.84,4.0,3.86,,,,,,,,,,,,
543,Beach Volleyball,"Fall, 2023",International,Wheat,Female,UNDERGRAD,SAR,Bachelor of Science,21,Undergrad Freshman,Freshman,3.8,,,3.19,3.19,3.43,3.31,,,,,,,,,,,,,,,,,,,,
555,Kickball,"Spring, 2024",International,Baguette ,Female,UNDERGRAD,COM,Bachelor of Science,608,Undergrad Freshman,,,,,3.71,3.71,,,,,,,,,,,,,,,,,,,,,,
560,Water Polo,"Fall, 2022",International,Wheat,Male,UNDERGRAD,CAS,Bachelor of Arts,317,Undergrad Sophomore,Freshman,3.5,,,2.9,2.9,3.18,3.04,3.11,3.1,3.62,3.22,,,,,,,,,,,,,,,,
565,Bowling,"Fall, 2021",International,Sourdough,Female,UNDERGRAD,SAR,Bachelor of Science,5561,Undergrad Junior,Freshman,4.0,,,3.48,3.48,3.53,3.5,3.68,3.56,3.33,3.5,3.18,3.44,3.43,3.43,,,,,,,,,,,,
578,Cricket,"Fall, 2020",International,Sourdough,Female,UNDERGRAD,QST,Bachelor of Science in Business Administration,506,Undergrad Senior,Freshman,3.4,22.0,,3.68,3.68,2.9,3.29,2.65,3.1,2.83,3.03,2.08,2.87,3.1,2.91,3.63,2.99,3.9,3.07,,,,,,,,
587,Roller Derby,"Fall, 2020",International,Sourdough,Male,UNDERGRAD,COM,Bachelor of Science,614,Undergrad Senior,Freshman,3.3,,980.0,3.18,3.18,2.9,3.04,2.68,2.95,2.47,2.86,3.1,2.82,2.67,2.8,1.83,2.7,3.5,2.75,,,,,,,,
588,Bowling,"Fall, 2020",International,Wheat,Female,UNDERGRAD,CAS,Bachelor of Arts,2001,Undergrad Senior,Freshman,3.2,,,3.0,3.0,3.15,3.08,3.33,3.16,3.6,3.27,3.58,3.33,3.58,3.37,3.35,3.37,3.48,3.38,,,,,,,,
589,Roller Derby,"Fall, 2023",International,Sourdough,Male,UNDERGRAD,SHA,Bachelor of Science,518,Undergrad Freshman,Freshman,3.4,,,3.35,3.21,3.35,3.27,,,,,,,,,,,,,,,,,,,,
595,Frisbee,"Fall, 2023",International,Sourdough,Male,UNDERGRAD,CAS,Bachelor of Arts,2204,Undergrad Freshman,Freshman,3.3,,,2.33,2.33,2.67,2.49,,,,,,,,,,,,,,,,,,,,
596,Roller Derby,"Fall, 2023",International,Sourdough,Male,UNDERGRAD,CAS,Bachelor of Arts,11,Undergrad Freshman,Freshman,3.1,,,3.0,3.0,3.23,3.12,,,,,,,,,,,,,,,,,,,,
601,Cricket,"Fall, 2023",International,Sourdough,Female,UNDERGRAD,QST,Bachelor of Science in Business Administration,506,Undergrad Freshman,Freshman,4.0,,,2.43,2.43,2.81,2.61,,,,,,,,,,,,,,,,,,,,
